Country,Average AQI,Continent
Argentina,28.2,South America
Bolivia (Plurinational State of),23.8,South America
Brazil,44.6,South America
Chile,87.9,South America
Colombia,66.1,South America
Ecuador,45.3,South America
Guyana,45.5,South America
Paraguay,42.8,South America
Peru,36.4,South America
Suriname,43.3,South America
Uruguay,26.7,South America
Venezuela (Bolivarian Republic of),77.7,South America
